,precision,recall,f1-score,support
0,0.9519650655021834,0.984516129032258,0.9679670155407548,1550.0
1,1.0,0.8037383177570093,0.8911917098445595,107.0
2,1.0,1.0,1.0,18932.0
3,1.0,0.9951749095295537,0.9975816203143894,829.0
4,0.0,0.0,0.0,7.0
5,1.0,0.8333333333333334,0.9090909090909091,6.0
6,0.9900990099009901,1.0,0.9950248756218906,400.0
7,1.0,1.0,1.0,200.0
8,0.9586466165413534,0.9845559845559846,0.9714285714285714,518.0
9,1.0,0.9950248756218906,0.9975062344139651,402.0
10,0.9824120603015075,0.9642416769420469,0.9732420659614188,1622.0
11,0.9111111111111111,0.803921568627451,0.8541666666666666,51.0
accuracy,0.9945175438596491,0.9945175438596491,0.9945175438596491,0.9945175438596491
macro avg,0.8995194886130955,0.8637088996166273,0.8797666390735936,24624.0
weighted avg,0.9943186903562748,0.9945175438596491,0.9943357977261738,24624.0
