,precision,recall,f1-score,support
0,0.9517915309446254,0.9425806451612904,0.9471636952998379,1550.0
1,0.7571428571428571,0.9906542056074766,0.8582995951417004,107.0
2,1.0,1.0,1.0,18932.0
3,1.0,0.9927623642943305,0.9963680387409201,829.0
4,0.6666666666666666,0.8571428571428571,0.75,7.0
5,0.625,0.8333333333333334,0.7142857142857143,6.0
6,0.9925558312655087,1.0,0.9962640099626401,400.0
7,0.9049773755656109,1.0,0.9501187648456056,200.0
8,0.9837728194726166,0.9362934362934363,0.9594460929772503,518.0
9,0.9975062344139651,0.9950248756218906,0.9962640099626401,402.0
10,0.9789137380191694,0.9445129469790382,0.9614057106997176,1622.0
11,0.5106382978723404,0.9411764705882353,0.6620689655172414,51.0
accuracy,0.9908219623131904,0.9908219623131904,0.9908219623131904,0.9908219623131904
macro avg,0.8640804459469468,0.9527900945851574,0.8993070497861057,24624.0
weighted avg,0.9920467063005303,0.9908219623131904,0.9911733572090053,24624.0
